cell count,conc (ng/uL),Treatment
50000,5.46,
58000,6.46,
100000,11.2,
100000,7.5,
250000,22.8,
400000,31.8,
545935,78,
500000,28.8,
500000,19.2,
500000,29.2,
400000,22,
400000,29.6,
700000,55.2,
200000,5.66,
530000,29.4,
238000,39.8,PBS
124000,32.4,PBS
250000,39.2,PBS
150000,48.8,PBS
53000,4.16,PolyI:C
75000,3.18,PolyI:C
20000,1.99,PolyI:C
60000,2.06,PolyI:C
144000,22.8,PBS
67000,21.6,PBS
57000,27.2,PBS
114000,18,PolyI:C
388000,45.8,PolyI:C
270000,28.2,PolyI:C
135000,22.8,PolyI:C
166000,45.4,PBS
19000,6.38,PolyI:C
38000,6.14,naïve
526000,48.8,PolyI:C
959000,73,PolyI:C
540000,47.8,PolyI:C
614000,71.6,PolyI:C
